IdOportunidad,IdEmpresa,IdPropietario,TipoDivisaAjuste,Zona,Importe,FechaCierre,Participantes,ImporteEnMXN,ClasificacionZona,RangoImporte,RendimientoPorZona,AñoCierre,MesCierre,ImporteAcumulado,CrecimientoRelativo
0068X00001J86CmQAJ,0018X00003EzoAGQAZ,005UG000001VnS5YAK,MXN,ZONA 1,23500,31/12/2024,16,23500,Central,Muy Bajo,1468.75,2024,12,23500,0
006UG000003l4phYAA,0013f000003TnJRAA0,0052M000008ag3jQAA,MXN,ZONA 5,263184,31/12/2024,0,263184,Periferica,Bajo,263184,2024,12,263184,0
006UG000004Sy70YAC,0018X00003P5wctQAB,0052M000008Jq5HQAS,USD,ZONA 3,130000,31/12/2024,0,2626000,Periferica,Medio,2626000,2024,12,2626000,0
006UG000006JAhlYAG,0012M000029HZGHQA4,0058X00000Gotl2QAB,USD,ZONA 1,44200,31/12/2024,0,892840,Central,Bajo,892840,2024,12,892840,0
006UG000007DglOYAS,0014100001uMubeAAC,0058X00000FQzgUQAT,MXN,ZONA 2,225000,31/12/2024,0,225000,Central,Bajo,225000,2024,12,225000,0
006UG000007jHdOYAU,001UG000009FwuXYAS,00541000007Mjh2AAC,USD,ZONA 1,12290,31/12/2024,0,248258,Central,Bajo,248258,2024,12,248258,0
006UG000007KpYbYAK,0014100001uMqWwAAK,00541000007Mjh2AAC,USD,ZONA 1,19200,31/12/2024,0,387840,Central,Bajo,387840,2024,12,636098,1.562245728
006UG000007mqmgYAA,001UG000009FtLaYAK,00541000007Mjh2AAC,USD,ZONA 1,39000,31/12/2024,30,787800,Central,Bajo,26260,2024,12,1423898,4.735557364
006UG000007NbPTYA0,001UG000008oRZtYAM,0053f000000ERMNAA4,MXN,ZONA 2,294797,31/12/2024,25,294797,Central,Bajo,11791.88,2024,12,294797,0
006UG000007z1hWYAQ,0013f000004YkX1AAK,00541000007Mjh2AAC,USD,ZONA 1,13750,31/12/2024,0,277750,Central,Bajo,277750,2024,12,1701648,5.854353133
006UG000008hdnuYAA,0014100001uMqQ2AAK,0053f000000ERMNAA4,MXN,ZONA 2,500000,31/12/2024,0,500000,Central,Bajo,500000,2024,12,794797,1.696082389
006UG000008IcTdYAK,0018X000038OLSdQAO,005UG000000Q3VJYA0,MXN,ZONA 4,562700,31/12/2024,0,562700,Periferica,Bajo,562700,2024,12,562700,0
006UG000009mslhYAA,0018X00003HsOkSQAV,005UG000000Q3VJYA0,MXN,ZONA 4,0,31/12/2024,0,0,Periferica,Muy Bajo,0,2024,12,562700,0
006UG000009oI6EYAU,0014100001uNFnFAAW,00541000007Mjh2AAC,USD,ZONA 1,26250,31/12/2024,60,530250,Central,Bajo,8837.5,2024,12,2231898,7.990235964
006UG000009oU7NYAU,0014100001uMqy7AAC,00541000007Mjh2AAC,USD,ZONA 1,15070,31/12/2024,0,304414,Central,Bajo,304414,2024,12,2536312,9.216436127
006UG00000AC15qYAD,001UG00000COhUkYAL,0053f000000ERMNAA4,MXN,ZONA 2,78679,31/12/2024,6,78679,Central,Bajo,13113.16667,2024,12,873476,1.962974521
006UG00000AYxftYAD,0012M0000257DFiQAM,00541000002payeAAA,MXN,ZONA 3,299000,31/12/2024,0,299000,Periferica,Bajo,299000,2024,12,299000,0
006UG00000BA34jYAD,001UG00000Dhtt1YAB,0053f000000ERMNAA4,MXN,ZONA 2,114780,31/12/2024,20,114780,Central,Bajo,5739,2024,12,988256,2.352327195
006UG00000BfAhpYAF,0013f000002QQedAAG,0058X00000FQzgUQAT,MXN,ZONA 2,2486000,31/12/2024,250,2486000,Central,Medio,9944,2024,12,2711000,11.04888889
006UG00000BlBcoYAF,001UG00000EQPiiYAH,005UG000002JtxJYAS,MXN,ZONA 5,590000,31/12/2024,15,590000,Periferica,Bajo,39333.33333,2024,12,590000,0
006UG00000BRoooYAD,0018X00003EzoAGQAZ,005UG000001VnS5YAK,USD,ZONA 1,21000,31/12/2024,0,424200,Central,Bajo,424200,2024,12,447700,18.05106383
006UG00000BRpMhYAL,0018X00003EzoAGQAZ,005UG000001VnS5YAK,USD,ZONA 1,20000,31/12/2024,5,404000,Central,Bajo,80800,2024,12,851700,35.24255319
006UG00000BwzJJYAZ,001UG00000EcfIEYAZ,0053f000000ERMNAA4,MXN,ZONA 2,505678,31/12/2024,0,505678,Central,Bajo,505678,2024,12,1493934,4.067670295
006UG00000C25EPYAZ,001UG00000EjHpRYAV,0053f000000ERMNAA4,MXN,ZONA 2,389000,31/12/2024,0,389000,Central,Bajo,389000,2024,12,1882934,5.387222394
006UG00000CaGXEYA3,0014100001uMuXWAA0,00541000007MjftAAC,MXN,ZONA 2,118000,31/12/2024,0,118000,Central,Bajo,118000,2024,12,118000,0
006UG00000Cd065YAB,001UG00000AWtYHYA1,005UG000001VnS5YAK,USD,ZONA 1,5000,31/12/2024,0,101000,Central,Bajo,101000,2024,12,952700,39.54042553
006UG00000CDQAgYAP,001UG00000ExpBJYAZ,005UG000000Q3VJYA0,MXN,ZONA 4,0,31/12/2024,0,0,Periferica,Muy Bajo,0,2024,12,562700,0
